city,date,temp_max,temp_min,precipitation
New_York,2025-10-12,15.7,14.2,1.6
New_York,2025-10-13,16.0,14.3,11.7
New_York,2025-10-14,18.6,13.7,0.1
New_York,2025-10-15,17.3,10.9,0.0
New_York,2025-10-16,15.1,7.9,0.0
New_York,2025-10-17,15.4,7.8,0.0
New_York,2025-10-18,15.5,9.3,0.0
Los_Angeles,2025-10-12,27.6,12.8,0.0
Los_Angeles,2025-10-13,21.3,14.1,0.0
Los_Angeles,2025-10-14,18.9,15.7,12.3
Los_Angeles,2025-10-15,21.4,15.4,0.0
Los_Angeles,2025-10-16,25.5,16.6,0.0
Los_Angeles,2025-10-17,27.7,19.4,0.0
Los_Angeles,2025-10-18,27.4,19.5,0.0
Chicago,2025-10-12,17.5,10.5,0.0
Chicago,2025-10-13,18.3,11.0,0.0
Chicago,2025-10-14,17.9,15.3,0.0
Chicago,2025-10-15,15.2,12.5,0.4
Chicago,2025-10-16,18.6,11.4,0.0
Chicago,2025-10-17,20.0,14.2,0.3
Chicago,2025-10-18,18.7,12.5,0.0
